Row,Time,Boreal Forest,VariCamo,Moss Quartz,Flashback,Nitro,Blood Tiger,Basilisk,Briefing,Leaded Glass,StatTrak Flashback,Decimator,StatTrak Blood Tiger,StatTrak Briefing,Atomic Alloy,Guardian,StatTrak Basilisk,Souvenir VariCamo,Cyrex,Nightmare,Bright Water,StatTrak Leaded Glass,Dark Water,Control Panel,Mecha Industries,StatTrak Decimator,StatTrak Bright Water,StatTrak Atomic Alloy,Hyper Beast,Golden Coil,StatTrak Guardian,Chantico's Fire,StatTrak Nightmare,StatTrak Dark Water,StatTrak Cyrex,Master Piece,StatTrak Mecha Industries,StatTrak Hyper Beast,Souvenir Boreal Forest,StatTrak Golden Coil,Icarus Fell,Hot Rod,Player Two,StatTrak Chantico's Fire,Souvenir Master Piece,StatTrak Player Two,Souvenir Control Panel,Knight,Souvenir Nitro
1,20041715,0.36,0.85,1.19,1.69,2.18,2.31,2.39,2.83,5.52,6.21,8.35,8.64,8.75,9.56,10.12,10.5,12.46,11.68,12.45,13.3,18.45,18.47,18.58,20.93,26.28,29.09,29.68,29.76,32.26,34.73,42.14,44.52,45.23,47.79,67.43,80.41,83.72,89.9,106.28,107.56,138.27,147.32,152.57,192.23,374.84,719.0,765.35,1523.06
2,20041715,0.4,0.85,1.19,1.66,2.18,2.31,2.39,2.83,5.52,6.21,8.16,8.64,8.75,9.56,10.12,10.5,12.46,11.68,11.97,13.3,18.45,18.47,18.58,20.93,26.28,29.09,29.68,29.76,32.26,34.73,42.14,44.52,45.23,47.79,67.43,80.41,83.72,89.9,106.28,107.56,138.27,147.32,152.57,192.23,374.84,719.0,765.35,1523.06
3,20041716,0.4,0.85,1.19,1.7,2.08,2.31,2.37,2.9,5.25,6.06,8.28,8.12,8.75,8.91,10.0,10.5,12.46,12.08,11.93,13.3,18.4,18.47,18.58,20.3,26.28,29.11,29.68,29.76,33.52,34.73,42.14,44.53,45.23,47.79,65.73,77.1,83.72,89.9,106.28,108.67,138.27,141.26,152.57,192.23,374.84,719.0,765.35,1523.06
4,20041716,0.36,0.83,1.07,1.75,2.13,2.32,2.53,2.76,5.33,6.06,8.44,8.12,8.75,9.56,10.09,10.5,12.46,12.08,11.93,13.3,18.4,18.47,18.58,20.3,26.28,29.11,29.68,29.76,33.52,34.73,42.14,44.53,45.23,47.79,65.73,77.1,83.72,89.9,106.28,108.67,138.27,141.26,152.57,192.23,374.84,719.0,765.35,1523.06
5,20041812,0.39,0.84,1.15,1.72,2.19,2.27,2.45,2.8,5.41,6.07,7.74,9.02,10.9,9.09,9.31,10.18,12.42,11.07,13.22,11.31,16.67,19.86,17.79,19.97,26.25,29.74,31.47,29.87,34.46,33.69,42.92,44.75,44.51,46.23,64.97,70.63,88.95,89.9,102.35,112.7,162.23,160.0,147.37,191.6,362.26,719.0,766.66,1517.92
6,20042018,0.37,0.84,1.2,1.7,2.07,2.31,2.47,2.77,5.3,6.49,8.37,8.94,10.71,9.4,9.89,10.12,12.42,11.36,11.85,9.98,16.53,18.7,17.8,21.51,23.19,29.74,29.0,29.59,32.0,34.98,42.8,43.44,43.7,48.6,60.76,74.72,94.16,89.9,94.5,113.18,135.78,135.78,134.17,159.96,420.0,719.0,766.66,1517.92
7,20042018,0.4,0.84,1.2,1.84,2.07,2.31,2.47,2.77,5.3,6.3,7.61,8.94,10.71,9.4,9.89,10.12,12.42,11.36,11.85,9.98,16.58,18.7,17.8,21.51,23.19,29.74,29.0,29.59,32.0,34.98,42.8,43.44,43.7,48.6,60.76,74.72,94.16,89.9,94.5,113.18,135.78,135.78,134.17,159.96,420.0,719.0,766.66,1517.92
8,20042018,0.4,0.88,1.23,1.81,2.19,2.31,2.49,2.9,5.29,5.61,8.37,8.94,10.71,9.45,9.89,10.12,12.42,11.99,11.97,9.84,16.58,18.7,17.8,21.45,23.19,29.74,29.0,29.59,32.0,34.98,42.8,43.44,43.7,48.6,60.76,74.72,94.15,89.9,94.5,113.18,135.78,135.78,134.17,159.96,420.0,719.0,766.66,1517.92
9,20042018,0.4,0.88,1.23,1.79,2.19,2.31,2.49,2.9,5.3,6.3,8.37,8.94,10.71,9.45,9.89,10.12,12.42,11.99,11.96,9.84,16.58,18.7,17.8,21.45,23.19,29.74,29.0,29.59,32.0,34.98,42.8,43.44,43.7,48.6,60.76,74.72,94.15,89.9,94.5,113.18,135.78,135.78,134.17,159.96,420.0,719.0,766.66,1517.92
10,20042019,0.37,0.86,1.23,1.75,2.26,2.33,2.49,2.94,5.3,6.21,8.63,8.36,10.44,9.45,9.91,10.23,12.42,12.34,11.63,9.84,16.94,18.74,17.97,21.45,23.2,29.74,29.0,28.23,31.02,34.98,42.8,43.44,43.7,48.6,60.74,74.72,94.15,89.9,99.84,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
11,20042019,0.38,0.88,1.23,1.7,2.3,2.33,2.47,2.93,5.06,6.15,8.63,8.36,10.44,9.45,9.91,10.23,12.42,12.34,12.15,9.84,16.94,18.74,17.99,21.45,23.2,29.74,29.0,28.23,31.02,34.98,42.8,43.44,43.7,48.6,59.74,74.72,94.15,89.9,99.84,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
12,20042019,0.38,0.88,1.23,1.7,2.3,2.33,2.47,2.93,5.23,6.21,8.63,8.36,10.44,9.45,9.91,10.23,12.42,12.34,12.15,9.84,16.94,18.74,17.99,21.45,23.73,29.74,29.0,28.23,31.02,34.98,42.8,43.44,43.7,48.6,59.74,74.72,94.15,89.9,99.84,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
13,20042019,0.41,0.88,1.23,1.74,2.34,2.33,2.43,2.93,5.3,6.17,8.63,8.36,10.44,9.45,9.91,10.23,12.42,12.34,12.15,9.84,16.94,18.74,17.99,21.45,23.73,29.74,29.0,28.23,31.02,34.96,42.8,43.44,43.7,48.6,59.74,74.72,94.15,89.9,99.83,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
14,20042019,0.4,0.85,1.23,1.66,2.23,2.33,2.47,2.92,4.89,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20042019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,46.0,43.7,48.6,56.48,74.72,94.15,89.9,99.83,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
16,20042019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,46.0,43.7,48.6,56.48,74.72,94.15,89.9,99.83,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
17,20042019,0.4,0.85,1.23,1.73,2.15,2.33,2.61,2.87,5.52,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20042019,0.38,0.85,1.23,1.75,2.15,2.33,2.61,2.47,5.52,6.57,7.61,8.36,10.44,9.25,9.91,10.23,12.42,11.46,11.43,9.84,16.58,20.61,17.99,21.45,23.73,29.74,29.0,28.46,30.48,34.93,41.4,46.34,43.7,48.6,56.48,74.72,94.15,89.9,99.83,113.18,135.78,130.57,134.17,159.96,420.0,719.0,766.66,1517.92
19,20042022,0.38,0.83,1.27,1.84,2.19,2.35,2.55,3.0,5.48,5.95,8.69,8.94,10.35,9.13,9.25,9.98,12.42,11.97,11.62,10.46,17.04,19.57,18.75,21.63,23.61,29.67,27.86,26.24,32.0,34.0,41.28,46.34,42.47,48.6,58.67,74.88,93.5,89.9,99.84,113.18,135.78,128.65,134.89,156.11,380.19,719.0,766.66,1517.92
